,title,date,abstract,word_count,abstract_clean
32,Making sense of what enables and what constrains adaptation to climate change,2011-01-01,"As a first step in responding to new phenomena such as climate change people need to make sense of these new phenomena. Social representations theory suggests that people first anchor new phenomena to what they already know and then through processes of social interaction such as conversation or engagement with public media, people objectify this anchored representation in the form of an image, metaphor or symbol. This objectification makes the phenomenon familiar and part of common sense. As such the objectified phenomenon is added as a new social object to the group's world. The social representations form an important underpinning feature of how people respond to phenomena such as climate change. The process of making sense of phenomena such as climate change is thus very much a social process and we need to understand how this process occurs in order to effectively model people's responses. In a similar vein, to understand how people respond to climate change we need to make sense of how they make sense of the situations they face; what enables and what constrains their ability to adapt to climate change. These enabling and constraining factors need to be understood as objects within the social world. Making sense of new phenomena is a highly complex process. As society grapples with making sense of climate change and having to adapt to climate change it is very difficult to predict what social objects will emerge and become objectified. This is a truly difficult situation to model. To build models of the social dimensions of climate change we will need as a first step, to be able to model this highly complex sense making process through which groups within, and society as a whole come to terms with climate change and what enables them to adapt to climate change. In this paper we describe some preliminary results from our investigations of sense making in relation to climate change and climate change adaptation among different social groups. Our data compromise almost 1000 narrative fragments of people's personal experiences of what enables and what constrains adaptation to climate change. We present some preliminary findings of patterns in how society in Australia and Canada, are making sense of adapting to climate change. Respondents in our survey revealed characteristics of their narratives and their own relationship to their narrative as well as a number of characteristics of themselves. We present preliminary results of mixed methods analysis of word association and narrative fragment data on what people think of in relation to climate change and in which factors help and which hinder adaptation to climate change. An important conclusion emerging from our preliminary analyses of the data was that there was no one consensual representation either of climate change or the factors that enable or constrain adaptation to climate change. The paper concludes by identifying some opportunities and difficulties that our analyses present for modelling the social dimensions of climate change.",486,first step responding phenomenon people need make sense phenomenon social representation theory suggests people first anchor phenomenon already know process social interaction conversation medium people objectify anchored representation form image metaphor symbol objectification make phenomenon familiar part common sense objectified phenomenon added social object group world social representation form important underpinning feature people respond phenomenon process making sense phenomenon thus much social process need understand process occurs order effectively model people response similar vein understand people respond need make sense make sense situation face enables constrains ability adapt enabling constraining factor need understood object within social world making sense phenomenon highly complex process society grapple making sense adapt difficult predict social object emerge become objectified truly difficult situation model build model social dimension need first step able model highly complex sense making process group within society whole come term enables adapt describe preliminary result investigation sense making relation among different social group data compromise almost narrative fragment people personal experience enables constrains present preliminary finding pattern society australia canada making sense adapting respondent survey revealed characteristic narrative relationship narrative well number characteristic present preliminary result mixed method analysis word association narrative fragment data people think relation factor help hinder important conclusion emerging preliminary analysis data consensual representation either factor enable constrain concludes identifying opportunity difficulty analysis present modelling social dimension
33,Entering the Period of Consequences: The Explosive US Awakening to the Need for Adaptation,2011-01-01,"Since the early years of the twenty-first century, the United States has been awakening rapidly to the fact that climate change is underway and that adaptation to the unavoidable impacts of climate change is needed and must be begun now. This chapter provides an historical overview of the public, political, and scientific concern with adaptation in America. It begins by describing the shift from the early concerns with climate change and adaptation to the more recent awakening to the need for a comprehensive approach to managing the risks from climate change, as reflected in the news media. This shift is evident from the recent debates and drafting of adaptation-related bills in Congress; to the rapidly expanding activities at the state and local government levels; to the increasing engagement of nongovernmental organizations, professional associations, scientists, and consultants. This policy rush is not underlain, however, by widespread public engagement and mobilization, nor does it rest on a solid research foundation. To help the United States prepare adequately for the impacts of climate change, funding for vulnerability and adaptation research must be significantly increased. This will facilitate establishing adequate decision support mechanisms; effective communication and public involvement; and building the necessary capacity in science, the consulting world, and in government agencies.",208,since early year twenty first century united state awakening rapidly fact underway unavoidable impact needed must begun chapter provides historical overview political scientific concern america begin describing shift early concern recent awakening need comprehensive approach managing risk reflected news medium shift evident recent debate drafting related bill congress rapidly expanding activity state local government level increasing nongovernmental organization professional association scientist consultant policy rush underlain however widespread mobilization rest solid research foundation help united state prepare adequately impact funding vulnerability research must significantly increased facilitate establishing adequate decision support mechanism effective communication involvement building necessary capacity science consulting world government agency
34,CoastRanger MS: A Tool for Improving Public Engagement,2011-01-01,"Over the next century, ongoing coastal change will require a change in the way flood and erosion risks are managed in some areas. Such changes may have significant effects on local stakeholders and may require varying degrees of adaptation. It is therefore important for these stakeholders to be able to enter fully into the consultation process associated with these issues. This paper describes an innovative approach to stimulate public debate and improve stakeholder understanding of the issues that need to be balanced in order to achieve sustainable long-term coastal management solutions. The approach involves the creation of an educational tool (Coast Ranger MS) that allows users to manage a virtual coast within a PC-gaming type environment. Coast Ranger MS incorporates a legacy of past developments and defences, and uses a coastal process simulator to predict the impacts of climate change under different management scenarios chosen by the user. In the UK, it is anticipated that the tool will be of particular value in educating stakeholders before and during the development of strategic coastal management plans.",175,next century ongoing coastal require way flood erosion risk managed area change may significant effect local stakeholder may require varying degree therefore important stakeholder able enter fully consultation process associated issue describes innovative approach stimulate debate improve stakeholder understanding issue need balanced order achieve sustainable long term coastal management solution approach involves creation educational tool coast ranger m allows user manage virtual coast within pc gaming type environment coast ranger m incorporates legacy past development defence us coastal process simulator predict impact different management scenario chosen user uk anticipated tool particular value educating stakeholder development strategic coastal management plan
35,Making climate change governable: the case of the UK climate change risk assessment and adaptation planning,2011-01-01,Risk assessment techniques are regarded as key devices for managing adaptation to climate change; this paper examines their use in the first,22,risk assessment technique regarded key device managing examines use first
36,Future visioning of local climate change: A framework for community engagement and planning with scenarios and visualisation,2011-01-01,"There is an urgent need for meaningful information and effective public processes at the local level to build awareness, capacity, and agency on climate change, and support planning and decision-making. This paper describes a conceptual framework to meet these requirements by generating alternative, coherent, holistic climate change scenarios and visualizations at the local scale, in collaboration with local stakeholders and scientists. The framework provides a template for a process to integrate emission scenarios with both mitigation and adaptation strategies, and to link local manifestations of impacts and responses with global climate change scenarios. The article outlines the empirical application of this framework in the Local Climate Change Visioning Project in British Columbia, Canada. The project collaboratively localized, spatialized, and visualized possible climate change effects and community responses in the community's 'backyards'. The article concludes with lessons learned and suggested principles for future visioning efforts to engage communities in possible policy and behavioural choices. (C) 2011 Elsevier Ltd. All rights reserved.",160,urgent need meaningful information effective process local level build awareness capacity agency support planning decision making describes conceptual framework meet requirement generating alternative coherent holistic scenario visualization local scale collaboration local stakeholder scientist framework provides template process integrate emission scenario mitigation strategy link local manifestation impact response global scenario outline empirical application framework local visioning project british columbia canada project collaboratively localized spatialized visualized possible effect community response community backyard concludes lesson learned suggested principle future visioning effort engage community possible policy behavioural choice c right
37,"Human geographies of climate change: Landscape, temporality, and lay knowledges",2011-01-01,"In this paper we bring together work on landscape, temporality and lay knowledges to propose new ways of understanding climate change. A focus on the familiar landscapes of everyday life offers an opportunity to examine how climate change could be researched as a relational phenomenon, understood on a local level, with distinctive spatialities and temporalities. Climate change can be observed in relation to landscape but also felt, sensed, apprehended emotionally as part of the fabric of everyday life in which acceptance, denial, resignation and action co-exist as personal and social responses to the local manifestations of a global problem.",99,bring together work landscape temporality lay knowledge propose way understanding focus familiar landscape everyday life offer opportunity examine could researched relational phenomenon understood local level distinctive spatiality temporality observed relation landscape felt sensed apprehended emotionally part fabric everyday life acceptance denial resignation action co exist personal social response local manifestation global problem
38,Public responses to climate change: The role of deliberation in building capacity for adaptive action,2011-01-01,"Public deliberative platforms have been argued as potentially beneficial in fostering adaptive capacity to respond to climate change. However, little is known about the veracity of such claims, and indeed how deliberation and adaptive capacity can and do intersect. In response, this paper reports on findings from a project into public responses to climate change in the Australian Capital Region. It utilises quantitative analysis-in the form of Q methodology-and qualitative analysis, to compare discourses that emerged from individual scenario-based interviews with those that emerged at the end of a 4-day public deliberative process. It shows that while the scenario interviews had an impact on participants, this impact is not sustained. By contrast, the deliberative process gave rise to new discourses, one of which (labelled 'Collective Action Imperative') is argued as indicative of a potentially constructive personal and collective adaptive capacity. However, advocating deliberative processes still requires caution, as less adaptive discourses prevailed, suggesting strong governance signals and leadership are still essential for fostering a positive public response to the challenges of climate change. (C) 2011 Elsevier Ltd. All rights reserved.",180,deliberative platform argued potentially beneficial fostering adaptive capacity respond however little known veracity claim indeed deliberation adaptive capacity intersect response report finding project response australian capital region utilises quantitative analysis form q methodology qualitative analysis compare discourse emerged individual scenario based interview emerged end day deliberative process show scenario interview impact participant impact sustained contrast deliberative process gave rise discourse labelled collective action imperative argued indicative potentially constructive personal collective adaptive capacity however advocating deliberative process still requires caution le adaptive discourse prevailed suggesting strong governance signal leadership still essential fostering positive response challenge c right
39,Social-ecological traps in reef fisheries,2011-01-01,,1,
40,Perspectives on civic engagement in national strategies to combat climate change,2012-01-01,"Only democratic political systems can ensure a reliable and continuous inclusion of the interests of citizens and a commitment to addressing their needs. This contribution focuses on how citizens can engage in developing answers in fighting climate change and adapting to its impacts. Employing the function model of civil society developed by Merkel and Lauth, it draws on practical experience revealed by concrete examples and offers a systematization of the roles and functions that civil society can play in combating climate change. Examples of successful civic engagement on the community and national levels cover different perspectives and entry points, such as human rights, environmental and energy issues, and consumer protection. Transitions to stable democracy have become the object of significant international democracy support, so the account concludes that democracy's international supporters must understand the complexity that climate change brings to livelihoods at the community level and the potential benefits of pursuing greater interaction with civic engagement at the local and national levels.",162,democratic political system ensure reliable continuous inclusion interest citizen commitment addressing need contribution focus citizen engage developing answer fighting adapting impact employing function model civil society developed merkel lauth draw practical experience revealed concrete example offer systematization role function civil society play combating example successful civic community national level cover different perspective entry point human right environmental energy issue consumer protection transition stable democracy become object significant international democracy support account concludes democracy international supporter must understand complexity brings livelihood community level potential benefit pursuing greater interaction civic local national level
41,"The role of knowledge, learning and mental models in public perceptions of climate change related risks",2012-01-01,"Climate change represents a complex set of challenges, in part because it is marked by risks that are not easily observed and identified - risks that humans have significant difficulty estimating. A large body of research has shown that the construction of human risk perception is a complex, multi-faceted process. Determining viable mitigation and adaptation strategies toward climate change risks therefore necessitates models that appropriately reflect human knowledge systems and learning processes. In learning for a sustainable future, we must look beyond traditional measures of risk variables and obtain a more comprehensive and holistic understanding of risk behaviour. In this chapter, we aim to provide such an interdisciplinary overview. Using practical examples we outline five fundamental processes that help form, shape and guide human perceptions of climate-related risks, namely: (1) cognitive; (2) subconscious; (3) affective; (4) socio-cultural and (5) individual factors. We subsequently critically review techniques for measuring risk perception, discuss (existing) public perceptions of climate change related risks and illuminate the different mechanisms by which risk perception can influence public action. A major conclusion is that eliciting effective adaptation and mitigation responses requires greater public understanding of and multi-level engagement with climate change and to this extent, we provide several recommendations for public policy.",205,represents complex set challenge part marked risk easily observed identified risk human significant difficulty estimating body research construction human risk perception complex multi faceted process determining viable mitigation strategy toward risk therefore necessitates model appropriately reflect human knowledge system learning process learning sustainable future must look beyond traditional measure risk variable obtain comprehensive holistic understanding risk behaviour chapter aim provide interdisciplinary overview practical example outline five fundamental process help form shape guide human perception related risk namely cognitive subconscious affective socio cultural individual factor subsequently critically review technique measuring risk perception discus existing perception related risk illuminate different mechanism risk perception influence action major conclusion eliciting effective mitigation response requires greater understanding multi level extent provide several recommendation policy
42,Climate Change Risk Perception and Communication: Addressing a Critical Moment?,2012-01-01,"Climate change is an increasingly salient issue for societies and policy-makers worldwide. It now raises fundamental interdisciplinary issues of risk and uncertainty analysis and communication. The growing scientific consensus over the anthropogenic causes of climate change appears to sit at odds with the increasing use of risk discourses in policy: for example, to aid in climate adaptation decision making. All of this points to a need for a fundamental revision of our conceptualization of what it is to do climate risk communication. This Special Collection comprises seven papers stimulated by a workshop on Climate Risk Perceptions and Communication held at Cumberland Lodge Windsor in 2010. Topics addressed include climate uncertainties, images and the media, communication and public engagement, uncertainty transfer in climate communication, the role of emotions, localization of hazard impacts, and longitudinal analyses of climate perceptions. Climate change risk perceptions and communication work is critical for future climate policy and decisions.",152,increasingly salient issue society policy maker worldwide raise fundamental interdisciplinary issue risk uncertainty analysis communication growing scientific consensus anthropogenic cause appears sit odds increasing use risk discourse policy example aid decision making point need fundamental revision conceptualization risk communication special collection comprises seven paper stimulated workshop risk perception communication held cumberland lodge windsor topic addressed include uncertainty image medium communication uncertainty transfer communication role emotion localization hazard impact longitudinal analysis perception risk perception communication work critical future policy decision
43,A public health frame arouses hopeful emotions about climate change,2012-01-01,"Communication researchers and practitioners have suggested that framing climate change in terms of public health and/or national security may make climate change more personally relevant and emotionally engaging to segments of the public who are currently disengaged or even dismissive of the issue. To evaluate these assumptions, using a nationally representative online survey of U.S. residents (N = 1,127) conducted in December, 2010, we randomly assigned six previously identified audience segments on climate change to one of three experimental conditions. Subjects were asked to read uniquely framed news articles about climate change emphasizing either the risks to the environment, public health, or national security and the benefits of mitigation and adaptation-related actions. Results show that across audience segments, the public health focus was the most likely to elicit emotional reactions consistent with support for climate change mitigation and adaptation. Findings also indicated that the national security frame may possibly boomerang among audience segments already doubtful or dismissive of the issue, eliciting unintended feelings of anger.",165,communication researcher practitioner suggested framing term health national security may make personally relevant emotionally engaging segment currently disengaged even dismissive issue evaluate assumption nationally representative online survey u resident n conducted december randomly assigned six identified audience segment three experimental condition subject asked read uniquely framed news article emphasizing either risk environment health national security benefit mitigation related action result across audience segment health focus likely elicit emotional reaction consistent support mitigation finding indicated national security frame may possibly boomerang among audience segment already doubtful dismissive issue eliciting unintended feeling anger
44,"Rising sea and threatened mangroves: a case study on stakeholders, engagement in climate change communication and non-formal education",2012-01-01,"Scientific consensus shows that the changes related to climate change are already occurring and will intensify in the future. This will likely result in significant alterations to coastal ecosystems such as mangroves, increase coastal hazards and affect lifestyles of coastal communities. There is increasing speculation that mangrove, a socio-economically important ecosystem, will become more fragile and sensitive to uncertain climate variability such as sea level rise. As a result, mangrove-dependent societies may find themselves trapped in a downward spiral of ecological degradation in terms of their livelihoods and life security. Strengthening the resilience capacity of coastal communities to help them cope with this additional threat from climate change and to ensure sustainability calls for immediate action. In this context, this paper critically examines the regional implications of expected sea level rise and threats to mangrove-dependent communities through a case study approach. The main objective is to highlight the requirement for climate change communication and education to impart information that will fulfil three expectations: (1) confer understanding; (2) assess local inference on climate change through a participatory approach; and (3) construct a framework for climate change awareness among mangrove-dependent communities through community-based non-formal climate change education. This scale of approach is attracting increasing attention from policymakers to achieve climate change adaptation and derive policies from a social perspective.",217,scientific consensus show change related already occurring intensify future likely significant alteration coastal ecosystem mangrove increase coastal hazard affect lifestyle coastal community increasing speculation mangrove socio economically important ecosystem become fragile sensitive uncertain variability sea level rise mangrove dependent society may find trapped downward spiral ecological degradation term livelihood life security strengthening resilience capacity coastal community help cope additional threat ensure sustainability call immediate action context critically examines regional implication expected sea level rise threat mangrove dependent community approach main objective highlight requirement communication education impart information fulfil three expectation confer understanding ass local inference participatory approach construct framework awareness among mangrove dependent community community based non formal education scale approach attracting increasing attention policymakers achieve derive policy social perspective
45,Reciprocity as deliberative capacity: lessons from a citizen's deliberation on carbon pricing mechanisms in Australia,2013-01-01,"Australia has seen a deep division in opinion in search of a carbon pricing mechanism. While concepts of carbon taxation and emission trading have comparable public support, climate scepticism is influencing the debates in political and public spheres in downplaying the need for carbon pricing. Public deliberation is a possible engagement option to address the conflict inherent in climate policy preferences. This research explores the way that a deliberative forum involving twenty-four Australians promoted effective communication between participants through which conflict between policy preferences became more tangible. While the forum did not eliminate disagreement in preferences in the choice of carbon pricing mechanisms, participants reached consensus on fundamental principles such as the need for trusted sources of information, trusted governance procedures, and transparent accountability by appropriate institutions. Shared political expectations encouraged dialogue and cooperation in discussions by enhancing reciprocal understanding. Two sceptical participants who originally had strong opinions different from the rest of the group managed to find common ground. Public deliberative forums that are conducive to reciprocal communication are able to provide a mechanism for joint problem-solving processes that are less adversarial and more responsive to the range of people's preferences.",192,australia seen deep division opinion search carbon pricing mechanism concept carbon taxation emission trading comparable support scepticism influencing debate political sphere downplaying need carbon pricing deliberation possible option address conflict inherent policy preference research explores way deliberative forum involving twenty four australian promoted effective communication participant conflict policy preference became tangible forum eliminate disagreement preference choice carbon pricing mechanism participant reached consensus fundamental principle need trusted source information trusted governance procedure transparent accountability appropriate institution shared political expectation encouraged dialogue cooperation discussion enhancing reciprocal understanding sceptical participant originally strong opinion different rest group managed find common ground deliberative forum conducive reciprocal communication able provide mechanism joint problem solving process le adversarial responsive range people preference
46,"Integrating Collaboration, Adaptive Management, and Scenario-Planning: Experiences at Las Cienegas National Conservation Area",2013-01-01,"There is growing recognition that public lands cannot be managed as islands; rather, land management must address the ecological, social, and temporal complexity that often spans jurisdictions and traditional planning horizons. Collaborative decision making and adaptive management (CAM) have been promoted as methods to reconcile competing societal demands and respond to complex ecosystem dynamics. We detail the experiences of land managers and stakeholders in using CAM at Las Cienegas National Conservation Area (LCNCA), a highly valued site under the jurisdiction of the Bureau of Land Management (BLM). The CAM process at Las Cienegas is marked by strong stakeholder engagement, with four core elements: (1) shared watershed goals with measurable resource objectives; (2) relevant and reliable scientific information; (3) mechanisms to incorporate new information into decision making; and (4) shared learning to improve both the process and management actions. The combination of stakeholder engagement and adaptive management has led to agreement on contentious issues, more innovative solutions, and more effective land management. However, the region is now experiencing rapid changes outside managers' control, including climate change, human population growth, and reduced federal budgets, with large but unpredictable impacts on natural resources. Although the CAM experience provides a strong foundation for making the difficult and contentious management decisions that such changes are likely to require, neither collaboration nor adaptive management provides a sufficient structure for addressing the externalities that drive uncontrollable and unpredictable change. As a result, LCNCA is exploring two specific modifications to CAM that may better address emerging challenges, including: (1) creating nested resource objectives to distinguish between those objectives that may be crucial to maintaining ecological resilience from those that may hinder a flexible response to climate change, and (2) incorporating scenario planning into CAM to explore how climate change may interact with other drivers and alter options for the future, to identify robust management actions, and to prioritize ecological monitoring efforts. The experiences at LCNCA demonstrate how collaboration and adaptive management can be used to improve social and environmental outcomes and, with modifications, may help address the full range of complexity and change that threatens to overwhelm even the best efforts to sustain public lands.",357,growing recognition land cannot managed island rather land management must address ecological social temporal complexity often span jurisdiction traditional planning horizon collaborative decision making adaptive management cam promoted method reconcile competing societal demand respond complex ecosystem dynamic detail experience land manager stakeholder cam la cienegas national conservation area lcnca highly valued site jurisdiction bureau land management blm cam process la cienegas marked strong stakeholder four core element shared watershed goal measurable resource objective relevant reliable scientific information mechanism incorporate information decision making shared learning improve process management action combination stakeholder adaptive management led agreement contentious issue innovative solution effective land management however region experiencing rapid change outside manager control including human population growth reduced federal budget unpredictable impact natural resource although cam experience provides strong foundation making difficult contentious management decision change likely require neither collaboration adaptive management provides sufficient structure addressing externality drive uncontrollable unpredictable lcnca exploring specific modification cam may better address emerging challenge including creating nested resource objective distinguish objective may crucial maintaining ecological resilience may hinder flexible response incorporating scenario planning cam explore may interact driver alter option future identify robust management action prioritize ecological monitoring effort experience lcnca demonstrate collaboration adaptive management used improve social environmental outcome modification may help address full range complexity threatens overwhelm even best effort sustain land
47,Erosive coping after the 2011 floods in Kenya,2013-01-01,"Periodic river floods have devastating social and economic impacts on poor households in the low-lying coastal and western regions of Kenya. This paper focuses on how households in Bunyala District coped with the impacts of flooding, and particularly the December 2011 River Nzoia flood. The data for the study was collected through a survey of 400 households, three focus group discussions, four in-depth interviews and six key informant interviews. Of the surveyed household-heads, 393 (98.4%) reported negative impacts of the flood on farming, livestock and/or property. Coping strategies at household level included temporary relocation and migration, reduced expenditure on household needs, engagement in extra income-generating activities, selling of property and reliance on support from public and private agencies. The findings reveal that many of the coping measures that people use are erosive, as they have negative long-term effects on household livelihood sustainability.",142,periodic river flood devastating social economic impact poor household low lying coastal western region kenya focus household bunyala district coped impact flooding particularly december river nzoia flood data collected survey household three focus group discussion four depth interview six key informant interview surveyed household head reported negative impact flood farming livestock property coping strategy household level included temporary relocation migration reduced expenditure household need extra income generating activity selling property reliance support private agency finding reveal many coping measure people use erosive negative long term effect household livelihood sustainability
48,Australian residents' attitudes toward pro-environmental behaviour and climate change impacts on the Great Barrier Reef,2013-01-01,"Climate change and associated environmental impacts are increasingly important issues. Effective communication with residents of coastal communities is critical to mitigate and adapt to changing conditions; however, this can be a challenging feat without an understanding of attitudes toward pro-environmental behaviour. Drawing on three dimensions of the Theory of Planned Behaviour, this paper: (1) explores the Australian public's perceptions of climate change impacts on the Great Barrier Reef; (2) segments respondents into homogenous groups based on their environmental attitudes; and (3) profiles the emergent segments using managerially-relevant indicators. Study findings illustrate that respondents can be organised into five distinct segments according to their attitudes toward pro-environmental behaviour that could potentially stem climate change-related impacts. These segments perceive a variety of threats to the health of the Great Barrier Reef ecosystem, underestimate the performance of behaviours that help to mitigate impacts and face a variety of internal and external constraints on behavioural engagement.",152,associated environmental impact increasingly important issue effective communication resident coastal community critical mitigate adapt changing condition however challenging feat without understanding attitude toward pro environmental behaviour drawing three dimension theory planned behaviour explores australian perception impact great barrier reef segment respondent homogenous group based environmental attitude profile emergent segment managerially relevant indicator finding illustrate respondent organised five distinct segment according attitude toward pro environmental behaviour could potentially stem related impact segment perceive variety threat health great barrier reef ecosystem underestimate performance behaviour help mitigate impact face variety internal external constraint behavioural
49,Improving public health by tackling climate change,2013-01-01,"Across the world, climate change is now responsible for substantial mortality and morbidity, through direct effects on health and also by threatening the determinants of health. This commentary argues that adaptation policies to enhance resilience to adverse climate events are important, but must be coupled with determined action to reduce greenhouse gas emissions. The prize is synergy: many such policies, for example concerning food, travel and community engagement, can simultaneously improve physical and mental health.",75,across world responsible substantial mortality morbidity direct effect health threatening determinant health commentary argues policy enhance resilience adverse event important must coupled determined action reduce greenhouse gas emission prize synergy many policy example concerning food travel community simultaneously improve physical mental health
50,"Engaging the private sector in adaptation to climate change in developing countries: importance, status, and challenges",2013-01-01,"In developing countries there is a need for the private sector to be more engaged in identifying climate change risks, response measures, and adaptation, and to prioritize these more highly. The importance of the role of the private sector is evident from lessons drawn from the increasing amount of empirical experience on adaptation projects supported by climate funds: successful private sector engagement in adaptation will catalyse greater investment in reducing vulnerability; this in turn will accelerate the replication of climate-resilient technologies and services in core development sectors, especially in developing countries where investment in long-lived infrastructure is growing rapidly. Private sector companies should integrate adaptation into their strategies and investments for their own economic interest, as well as for their clients' interest and for the interests of the countries in which they operate. Unfortunately, private sector efforts on adaptation are not widely understood or seen as good business practice, and generally face several obstacles. Public policy should incentivize such investments by communicating risks, offering incentives for resilience enhancing measures, and where necessary by putting in place regulation to avoid shifting risks onto the public. Stronger public-private partnerships will also help to enhance climate resilience, and at the same time create business opportunities. Private firms will develop many of the products and services that will enable lower cost and more effective responses to climate change, which can be the basis for growing businesses. Ultimately, a paradigm shift is required for business to fully integrate the value associated with managing climate risks.",250,developing country need private sector engaged identifying risk response measure prioritize highly importance role private sector evident lesson drawn increasing amount empirical experience project supported fund successful private sector catalyse greater investment reducing vulnerability turn accelerate replication resilient technology service core development sector especially developing country investment long lived infrastructure growing rapidly private sector company integrate strategy investment economic interest well client interest interest country operate unfortunately private sector effort widely understood seen good business practice generally face several obstacle policy incentivize investment communicating risk offering incentive resilience enhancing measure necessary putting place regulation avoid shifting risk onto stronger private partnership help enhance resilience time create business opportunity private firm develop many product service enable lower cost effective response basis growing business ultimately paradigm shift required business fully integrate value associated managing risk
51,Reframing Engagement Methods for Climate Change Adaptation,2013-01-01,"Climate change poses known and unknown risks for coastal communities and also challenges for university faculty and local government staff who communicate about cli- mate sciences. Conceived as a way to move beyond traditional models of science communication, this project involved public and private decision makers in specific at-risk communities in Oregon (U.S. Pacific coast) and Maine (Atlantic coast). Both state projects sought to move behavior toward decisive action that results in coastal communities that are more resilient to climate variability at all scales. To promote engagement between project staffs and publics, a dialogic model of communication was advanced, beginning with interviews and focus groups that in turn shaped further engagement through workshops and targeted video products. This means of communication led to a deeper understanding of participants' knowledge, beliefs, perceptions, values, and barriers to action related to climate change and its effects. Coinciding with this, project participant evaluations in both Oregon and Maine indicate that the workshops and videos were successful at informing them on this complex issue; and in both states, project participation led to action outcomes. We believe that applied elsewhere our multifaceted and adaptive approach will garner similar results, provided sufficient dedicated staffing and attention to methods.",201,pose known unknown risk coastal community challenge university faculty local government staff communicate cli mate science conceived way move beyond traditional model science communication project involved private decision maker specific risk community oregon u pacific coast maine atlantic coast state project sought move behavior toward decisive action result coastal community resilient variability scale promote project staff public dialogic model communication advanced beginning interview focus group turn shaped workshop targeted video product mean communication led deeper understanding participant knowledge belief perception value barrier action related effect coinciding project participant evaluation oregon maine indicate workshop video successful informing complex issue state project participation led action outcome believe applied elsewhere multifaceted adaptive approach garner similar result provided sufficient dedicated staffing attention method
52,Private sector engagement in climate change adaptation in least developed countries: an exploration,2013-01-01,"The private sector is increasingly being engaged in climate finance and climate-related activities. Private sector opportunities for engagement in climate change adaptation are less clear than for mitigation, particularly in developing countries. This article first conceptualizes private sector engagement in adaptation by exploring (1) different roles of the private sector in adaptation in developing countries and (2) the way governments can create an enabling environment to increase private sector engagement. Second, it analyses how 47 least developed countries (LDCs) envisage the role of the private sector in their National Adaptation Programmes of Action (NAPAs). This article argues that private sector engagement in adaptation is often inevitable and potentially significant. Yet, the results show that it receives little attention in NAPAs. This may have three explanations: (1) an intentional approach of LDCs to avoid a distraction from the necessity to scale up public funding; (2) a lack of awareness of the potential of the private sector; and (3) the NAPA formulation guidelines focus on the public sector in the context of public financing, potentially causing path dependency. Developed countries' historic responsibility for emissions obliges them to upscale public climate finance. At the same time, however, LDCs should further explore private sector engagement in adaptation.",203,private sector increasingly engaged finance related activity private sector opportunity le clear mitigation particularly developing country first conceptualizes private sector exploring different role private sector developing country way government create enabling environment increase private sector second analysis least developed country ldcs envisage role private sector national programme action napa argues private sector often inevitable potentially significant yet result receives little attention napa may three explanation intentional approach ldcs avoid distraction necessity scale funding lack awareness potential private sector napa formulation guideline focus sector context financing potentially causing path dependency developed country historic responsibility emission obliges upscale finance time however ldcs explore private sector
