,title,creator,date,abstract,doi,publication,date_added,word_count
83,National policy response to climate change in South Africa,Garland,2014-01-01,"The South African government has taken several steps in response to climate change and its associated threats to human health. The National Climate Change Response Plan White Paper defines government's vision for effective climate change response and transitioning to a climate-resilient, low-carbon economy. The White Paper identifies potential health challenges for South Africa (SA), including vector- and water-borne diseases and heat stress. The National Climate Change and Health Adaptation Plan (the Plan), prepared by the National Department of Health, expands on these health challenges, raising not only additional ones, but also related socioeconomic risk factors, such as housing and settlements. Community participation was adopted as one of the guiding principles for implementing the Plan, especially as behavioural change is likely to be important for adaptation and coping strategies. Multisectorial co-operation is also imperative, as many of the climate-related health risks involve multiple multidisciplinary stakeholders to implement appropriate interventions. Addressing inequalities and poverty in SA is critical to ensure that the health impacts from climate change are mitigated, particularly as current evidence suggests that the largest health risks are possibly among communities already most impacted by climate-related diseases. More research is needed to determine the impact of climate on health and which communities are the most vulnerable. Tailored monitoring and evaluation systems, linked with climate surveillance, will provide an opportunity to collect health data on key health risks to inform decision-making.",10.7196/SAMJ.8605,Samj South African Medical Journal,2019-06-05 12:17:51+00:00,
84,An Assessment Framework for Cities Coping with Climate Change: The Case of New York City and its PlaNYC 2030,Jabareen,2014-01-01,"Climate change and its resulting uncertainties challenge the concepts, procedures, and scope of conventional approaches to planning, creating a need to rethink and revise current planning methods. This paper proposes a new conceptual framework for assessing city plans based on the idea of sustainability and planning countering climate change. It applies this framework to assess the recent master plan for the city of New York City: PlaNYC 2030. The framework consists of eight concepts that were identified through conceptual analyses of the planning and interdisciplinary literature on sustainability and climate change. Using the proposed conceptual framework to evaluate PlaNYC 2030 reveals some of the merits of the Plan. PlaNYC promotes greater compactness and density, enhanced mixed land use, sustainable transportation, greening, and renewal and utilization of underused land. With regard to the concept of uncertainty, it addresses future uncertainties related to climate change with institutional measures only. From the perspective of ecological economics, the Plan creates a number of mechanisms to promote its climate change goals and to create a cleaner environment for economic investment. It offers an ambitious vision of reducing emissions by 30% and creating a greener, greater New York, and links this vision with the international agenda for climate change. On the other hand, the assessment reveals that PlaNYC did not make a radical shift toward planning for climate change and adaptation. It inadequately addresses social planning issues that are crucial to New York City. NYC is socially differentiated in terms of the capacity of communities to meet climate change uncertainties, and the Plan fails to address the issues facing vulnerable communities due to climate change. The Plan calls for an integrative approach to climate change on the institutional level, but it fails to effectively integrate civil society, communities, and grassroots organizations into the process. The lack of a systematic procedure for public participation throughout the city's neighborhoods and among different social groupings and other stakeholders is a critical shortcoming, particularly during the current age of climate change uncertainty. Practically, the proposed conceptual framework of evaluate appears to be an effective and constructive means of illuminating the Plan's strengths and weaknesses, and appears to be an easy-to-grasp evaluation method, and should be easily understood and applied by scholars, practitioners and policy makers.",10.3390/su6095898,Sustainability,2019-06-05 12:17:51+00:00,
85,"The challenge of climate change in Spain: Water resources, agriculture and land",Vargas-Amelin and Pindado,2014-01-01,"Climate change effects are becoming evident worldwide, but some water scarce regions present higher vulnerability. Spain, located in the Mediterranean region, is expected for instance to be highly vulnerable given its unbalanced distribution between water resources availability and existing demands. This article presents an introduction to the main threats of climate change mainly on water resources, but it also assesses effects in interlinked areas such as agriculture, soil and land management. Contents focus on measures and initiatives promoted by the central government and address efforts to establish multi-sectoral coordinating bodies, specific adaptation plans and measures for the different sectors. The article highlights some political aspects, such as the complexity of involved competent authorities in water and land management, the need to strengthen public participation and the conflicts arising from the defence of regional interests. It also makes a link to current EU policies; summarises foreseeable problems derived from climate change effects, and provides some recommendations in the different areas covered. (C) 2013 Elsevier B.V. All rights reserved.",10.1016/j.jhydrol.2013.11.035,Journal of Hydrology,2019-06-05 12:17:51+00:00,
86,Investigating the delayed on-farm consequences of selling water entitlements in the Murray-Darling Basin,Wheeler et al.,2014-01-01,"Up to one-fifth of all irrigators in the Murray-Darling Basin sold water entitlements to the Australian Commonwealth in the period from the beginning of 2008 to the start of 2012. The sale of water entitlements has positive and negative consequences for irrigators and rural communities. This study focuses specifically on these potential on-farm consequences, by providing an overview of the reasons irrigators sell water, examining fluctuations in water use by irrigators overtime, and modelling the delayed impact of water sales in the previous five years on net farm income. It suggests that to date, many irrigators who sold water to the Commonwealth and continued farming in the southern Murray-Darling Basin have predominately sold their surplus and buffer water (water not used in production). There is only weak to no significant evidence from the regression modelling to suggest that there is a delayed negative impact on net farm income from selling water entitlements, which supports the notion that the reduction in farm production has been offset by many irrigators using water sales proceeds to reduce debt (and hence interest payments), restructure and reinvest on farm. However, given the advent of climate change and future water scarcity, all irrigators, but particularly for some of those who have sold part of their water entitlements, will need to plan for further incremental adaptation, water management or on-farm changes, or risk facing regular water shortages. (C) 2013 Elsevier B.V. All rights reserved.",10.1016/j.agwat.2013.10.015,Agricultural Water Management,2019-06-05 12:17:51+00:00,
87,Exploring critical pathways for urban water management to identify robust strategies under deep uncertainties,Urich and Rauch,2014-01-01,"Long-term projections for key drivers needed in urban water infrastructure planning such as climate change, population growth, and socio-economic changes are deeply uncertain. Traditional planning approaches heavily rely on these projections, which, if a projection stays unfulfilled, can lead to problematic infrastructure decisions causing high operational costs and/or lock-in effects. New approaches based on exploratory modelling take a fundamentally different view. Aim of these is, to identify an adaptation strategy that performs well under many future scenarios, instead of optimising a strategy for a handful. However, a modelling tool to support strategic planning to test the implication of adaptation strategies under deeply uncertain conditions for urban water management does not exist yet. This paper presents a first step towards a new generation of such strategic planning tools, by combing innovative modelling tools, which coevolve the urban environment and urban water infrastructure under many different future scenarios, with robust decision making. The developed approach is applied to the city of Innsbruck, Austria, which is spatially explicitly evolved 20 years into the future under 1000 scenarios to test the robustness of different adaptation strategies. Key findings of this paper show that: (1) Such an approach can be used to successfully identify parameter ranges of key drivers in which a desired performance criterion is not fulfilled, which is an important indicator for the robustness of an adaptation strategy; and (2) Analysis of the rich dataset gives new insights into the adaptive responses of agents to key drivers in the urban system by modifying a strategy. (C) 2014 Elsevier Ltd. All rights reserved.",10.1016/j.watres.2014.08.020,Water Research,2019-06-05 12:17:51+00:00,
88,Opinions on strategies for forest adaptation to future climate conditions in western Canada: surveys of the general public and leaders of forest-dependent communities,Hajjar et al.,2014-01-01,"Two province-wide surveys of residents in Alberta and British Columbia were conducted to assess the acceptability of a range of reforestation strategies-many of which revolve around biotechnology-that could be used to aid western Canada's forests in adapting to future climate change. The opinions of leaders of forest-dependent communities were also sought to evaluate how well they align with those of the public at large. Results show that the views of the general public and community leaders correspond. There is a low acceptance for a ""do-nothing"" strategy that allows climate change to run its course without any human intervention; high acceptance of replanting with local seeds; a decreasing acceptance of strategies that involve more manipulation such as breeding, using nonlocal seeds, and moving seeds outside of a species' natural range; and a low acceptance of genetically engineered solutions. However, a high proportion of respondents changed their answers when told that a particular strategy would lead to either favourable or unfavourable outcomes related to socioeconomics of forest-dependent communities, forest aesthetics, and pest, disease, and fire outbreaks. We conclude that a meaningful and participatory dialogue on forest adaptation strategies in the face of climate change can only emerge if residents and other interested stakeholders have an adequate understanding of current forest management practices, proposed reforestation strategies, the role of technological interventions, and the values and services for which western Canada's forests are to be managed.",10.1139/cjfr-2014-0142,Canadian Journal of Forest Research,2019-06-05 12:17:51+00:00,
89,Local adaptations in a changing water climate: small-scale infrastructures,Fam and Sofoulis,2015-01-01,,10.1080/13549839.2014.927285,Local Environment,2019-06-05 12:17:51+00:00,
90,Exploring global scientific discourses on urban forestry,Ostoic and van den Bosch,2015-01-01,"The concept of urban forestry is addressed from a discursive perspective, with focus on identifying and describing various scientific discourses, their strength and development over time and on different continents. This work can help obtain a deeper understanding of the scientific discourses in terms of identifying research trends and reasons behind these trends, as a possible way forward for research. Scientific publications (N = 519) issued during the period 1988-2014 (and as listed in the SCOPUS database) were analysed with the aims to 1) systematically identify and describe scientific urban forestry discourses, 2) discuss implications of these findings for scientific practice, and 3) propose ways forward. Six discourses of various strength and geographical distribution were identified. Scientific production was found to be dominated by North American and European authors with modest contributions from authors from other continents. Scientific discourses proved mostly expert driven and reflecting the positivist scientific paradigm. Prevailingly managerial orientation and absence of qualitative approaches indicate a lack of deeper understanding of human-environment relations. Studies related to active participation of citizens and partnerships in urban forestry have been missing. More emphasis should be placed on the testing of existing, and developing new methods and modalities of public participation, and on the value of civic involvement for the decision making. Moreover, a more solid evidence base is needed for benefits from urban forests, while economic aspects of biodiversity and other ecosystem services are still insufficiently explored. Study findings also call for more research on urban forest governance and relation between urban forest benefits and existing policies (e.g. climate change adaptation, energy policy or health). (C) 2015 Elsevier GmbH. All rights reserved.",10.1016/j.ufug.2015.01.001,Urban Forestry & Urban Greening,2019-06-05 12:17:51+00:00,
91,Do state traditions matter? Comparing deliberative governance initiatives for climate change adaptation in Dutch corporatism and British pluralism,Vink et al.,2015-01-01,"In the emerging field of climate adaptation, deliberative governance initiatives are proposed to yield better adaptation strategies. However, introducing these network-centred deliberations between public and private players may contrast with institutionalized traditions of interest intermediation between state and society. This paper shows how these so-called state traditions affect the processes and outcomes of newly set up deliberative governance initiatives. Because of the similarities in geographical characteristics and the differences in state tradition we conducted a qualitative case study comparison of Dutch and British water management. Our comparison is two-fold. First, we compare deliberative governance initiatives in the different state traditions of the Netherlands and UK. Second, we compare the newly set up deliberative governance initiative to an existing policy regime mainstreaming climate adaptation in a similar state tradition, in our case the Netherlands. We find that: (1) deliberative governance initiatives in the corporatist state tradition of the Netherlands yields learning but shows apathy among politically elected decision-makers compared to deliberative governance initiatives in the pluralist state tradition of the UK where clearly defined rules and responsibilities yields negotiation and action; and (2) a typical corporatist policy regime mainstreaming climate adaption in a corporatist state tradition yields effective and legitimate policy formation but lacks learning.",10.2166/wcc.2014.119,Journal of Water and Climate Change,2019-06-05 12:17:51+00:00,
92,Vulnerability of Poor Urban Women to Climate-linked Water Insecurities at the Household Level: A Case Study of Slums in Delhi,Kher et al.,2015-01-01,"In most developing countries rural, peri-urban slum women and girls spend several hours every day in water accession and management. Climate change coupled with demographic and technological factors further confound this scenario. This study assesses the vulnerability of poor women to climate-linked water insecurities in Delhi, the capital of India, where almost 20 per cent of its people live in slums and related settlements. This study made a qualitative and quantitative assessment of water-related needs of women living in slums across different regions of the city. Considering the rapid growth of slums, climatic changes and little change in the gendered distribution of domestic responsibilities, women are likely to spend huge amounts of time in meeting their practical gender needs of water and other resources. Their strategic gender needs of education, skill development and income will continue to be ignored leading to persistent gender gaps in attainments in different sectors. It is therefore very important to enhance the overall adaptive capacity of urban poor women to face the challenges of rapid urbanisation and climate change.",10.1177/0971521514556943,Indian Journal of Gender Studies,2019-06-05 12:17:51+00:00,
93,"Importance of anthropogenic climate impact, sampling error and urban development in sewer system design",Egger and Maurer,2015-01-01,"Urban drainage design relying on observed precipitation series neglects the uncertainties associated with current and indeed future climate variability. Urban drainage design is further affected by the large stochastic variability of precipitation extremes and sampling errors arising from the short observation periods of extreme precipitation. Stochastic downscaling addresses anthropogenic climate impact by allowing relevant precipitation characteristics to be derived from local observations and an ensemble of climate models. This multi-climate model approach seeks to reflect the uncertainties in the data due to structural errors of the climate models. An ensemble of outcomes from stochastic downscaling allows for addressing the sampling uncertainty. These uncertainties are clearly reflected in the precipitation-runoff predictions of three urban drainage systems. They were mostly due to the sampling uncertainty. The contribution of climate model uncertainty was found to be of minor importance. Under the applied greenhouse gas emission scenario (A1B) and within the period 2036-2065, the potential for urban flooding in our Swiss case study is slightly reduced on average compared to the reference period 1981-2010. Scenario planning was applied to consider urban development associated with future socio-economic factors affecting urban drainage. The impact of scenario uncertainty was to a large extent found to be case-specific, thus emphasizing the need for scenario planning in every individual case. The results represent a valuable basis for discussions of new drainage design standards aiming specifically to include considerations of uncertainty. (C) 2015 Elsevier Ltd. All rights reserved.",10.1016/j.watres.2014.12.050,Water Research,2019-06-05 12:17:51+00:00,
94,Impacts of Climate Change on Vector Borne Diseases in the Mediterranean Basin - Implications for Preparedness and Adaptation Policy,Negev et al.,2015-01-01,"The Mediterranean region is vulnerable to climatic changes. A warming trend exists in the basin with changes in rainfall patterns. It is expected that vector-borne diseases (VBD) in the region will be influenced by climate change since weather conditions influence their emergence. For some diseases (i.e., West Nile virus) the linkage between emergence andclimate change was recently proved; for others (such as dengue) the risk for local transmission is real. Consequently, adaptation and preparation for changing patterns of VBD distribution is crucial in the Mediterranean basin. We analyzed six representative Mediterranean countries and found that they have started to prepare for this threat, but the preparation levels among them differ, and policy mechanisms are limited and basic. Furthermore, cross-border cooperation is not stable and depends on international frameworks. The Mediterranean countries should improve their adaptation plans, and develop more cross-sectoral, multidisciplinary and participatory approaches. In addition, based on experience from existing local networks in advancing national legislation and trans-border cooperation, we outline recommendations for a regional cooperation framework. We suggest that a stable and neutral framework is required, and that it should address the characteristics and needs of African, Asian and European countries around the Mediterranean in order to ensure participation. Such a regional framework is essential to reduce the risk of VBD transmission, since the vectors of infectious diseases know no political borders.",10.3390/ijerph120606745,International Journal of Environmental Research and Public Health,2019-06-05 12:17:51+00:00,
95,"The split ladder of participation: A diagnostic, strategic, and evaluation tool to assess when participation is necessary",Hurlbert and Gupta,2015-01-01,"The mainstream literature sees participation as critical to deepening democracy and solving complex environmental issues. An explosion of literature on public participation has occurred since Amstein's ladder of participation in (1969). However, the literature does not address the conditions under which participation is likely to work and what it can achieve in different circumstances. In order to address these questions, this paper reviews the literature on participation, learning, trust, governance and management and conceptualizes the analysis through developing the split ladder of participation. It creates four ideal typical circumstances and explains what the nature and goal of stakeholder participation is for each circumstance. This model is then tested in four case studies in Mendoza, Argentina, Coquimbo, Chile, and Alberta and Saskatchewan, Canada. This split ladder is presented as both a diagnostic and evaluation tool and is supported through the use of examples. (C) 2015 Elsevier Ltd. All rights reserved.",10.1016/j.envsci.2015.01.011,Environmental Science & Policy,2019-06-05 12:17:51+00:00,
96,The Canadian Arctic Marine Ecological Footprint and Free Prior Informed Consent: Making the Case for Indigenous Public Participation through Inclusive Education,Koutouki et al.,2015-01-01,"Public participation of the Inuit concerning climate change adaptation in the Canadian Arctic is essential, given the extensive knowledge they possess about their traditional territories, especially as it relates to resources management. Unfortunately, much of this knowledge is not incorporated into the tertiary educational system and hence not part of the knowledge set of the people most likely to engage in public policy discussions and decisions. This article adopts a transdisciplinary approach, using an analysis of historic fish and marine mammal catch with the marine ecological footprint calculated for the year 2000. This scientific data, supported by the principle of free and prior informed consent as defined in United Nations Declaration on the Rights of Indigenous Peoples as well as the Tsilhqot'in case in Canada, demonstrates the need for inclusive education. We conclude that indigenous participation in climate change adaptation policies would benefit immensely from the offering of university programmes that incorporate, in a meaningful way, Inuit traditional knowledge and indigenous rights.",10.1111/reel.12119,Review of European Comparative & International Environmental Law,2019-06-05 12:17:51+00:00,
97,A dynamic assessment of water scarcity risk in the Lower Brahmaputra River Basin: An integrated approach,Gain and Giupponi,2015-01-01,"Many international river basins are likely to experience increasing water scarcity over the coming decades. This water scarcity is not rooted only in the limitation of resources, i.e. the shortage in the availability of freshwater relative to water demand, but also on social factors (e.g. flawed water planning and management approaches, institutional incapability to provide water services, unsustainable economic policies). Therefore, the assessment of water scarcity risks is not limited to the assessment of physical water supply and demand, but it requires also consideration of several socio-economic factors. In this study, we provide a comprehensive dynamic assessment of water scarcity risks for the Lower Brahmaputra river basin, a region where the hydrological impact of climate change is expected to be particularly strong and population pressure is high. The basin area of Brahmaputra River lies among four different countries: China, India, Bangladesh and Bhutan. For water scarcity assessment, we propose a novel integration of different approaches: (i) the assessment of water scarcity risk, considering complex social-ecological system; (ii) the analysis of dynamic behaviour of the system; (iii) exploration of participatory approach in which limited number of stakeholders identify the most relevant issues with reference to water scarcity risks and provide their preferences for the aggregation of risk assessment indicators. Results show that water scarcity risk is expected to slightly increase and to fluctuate remarkably as a function of the hazard signal. Social indicators show trends that can at least partially compensate the increasing trend of the drought index. The results of this study are intended to be used for contributing to planned adaptation of water resources systems, in Lower Brahmaputra River Basin. (C) 2014 Elsevier Ltd. All rights reserved.",10.1016/j.ecolind.2014.07.034,Ecological Indicators,2019-06-05 12:17:51+00:00,
98,Local perceptions of rangeland degradation and climate change in the pastoral society of Qinghai-Tibetan Plateau,Wu et al.,2015-01-01,"Rangelands provide several valuable ecological services and provide for the livelihoods of local herders on the Qinghai-Tibetan Plateau (QTP). However, rangelands are being degraded due to overgrazing, policy changes and climate change. In this context, a survey was conducted in Zhuaxixiulong township of Gansu Province, China to examine the rangeland management systems and identify problems herders are facing in terms of livestock production and livelihoods using a Participatory Rural Appraisal approach. The results indicated that local herders perceived recent trends in rangeland degradation, climatic change, and political changes, and had developed management practices to adapt to these changes, such as adjusting transhumance patterns, cooperating with local institutions and adopting more collective actions in production practices. This study suggests that, to promote a sustainable rangeland management system in the QTP, policy-makers should recognise indigenous knowledge systems of grazing practices and rangeland management, as well as the need for more advanced technical methods. More attention should be paid to recent changes in climate, social transformations and economic changes to enhance the viability of such a pastoral society. To ensure the sustainability of the social-ecological system, there is a need to strengthen public participation and cooperation with all types of institutions to formulate appropriate policies and improve public services.",10.1071/RJ14082,Rangeland Journal,2019-06-05 12:17:51+00:00,
99,Efficiency of Plant Breeding,Ceccarelli,2015-01-01,"Participatory plant breeding (PPB) has been practiced for several reasons, including sociological, humanitarian, and egalitarian. This paper aims to demonstrate that PPB should be practiced simply because it increases plant breeding efficiency, which is defined as (i) the ratio between the number of varieties adopted and the number of crosses made, (ii) the response to selection, and (iii) the benefit/cost ratio, not only as often done by public breeding programs, by the number of varieties released by public breeding programs. After reviewing the reasons for the lack of adoption of several of the varieties released, and the theoretical basis justifying the use of correlated response to measure selection gains, the issue of the benefit/cost ratio is discussed within the context of adoption rates. The assumption is that without adoption, no benefit will occur. Ways to increase the three measures of breeding efficiency are discussed in detail, and the conclusion is made that the three measures can be increased by combining decentralized selection with farmers' participation in a PPB program. The essential features of a PPB program are reviewed, including the experimental designs and statistical analysis used to increase the precision of on-farm trials. The findings show that PPB increases breeding efficiency, both in terms of response to selection measured over the time from the initial cross to adoption and in terms of the benefit/cost ratio as a consequence of a higher adoption rate. In a PPB program, adoption starts during the process of selection and precedes variety release. In a conventional plant breeding (CPB) program, the sequence is reversed. Other differences between a PPB and a CPB program include the increase of agrobiodiversity, which in a PPB program is higher because of the rapid spatiotemporal turnover of varieties, and because the seed of new varieties is readily available to farmers, thus contributing to food security. Because of its decentralized nature, PPB can accommodate organic farms and become easily adopted by both national and international public breeding programs as one way of adapting crops to climate changes.",10.2135/cropsci2014.02.0158,Crop Science,2019-06-05 12:17:51+00:00,
100,"Our commitment to climate change is dependent on past, present and future emissions and decisions",Rummukainen,2015-01-01,"The present day global climate change is fueled by our use of fossil fuels and land use change. The already observed warming and other distinct changes in the climate system stem from these human influences and are ongoing. Due to climate system inertia, a part of the climate system's response to this historical forcing remains to manifest itself, which it will do over time. At the same time, socio-economic forces and trends imply some amount of additional emission and land use change, which compounds our commitment to even more substantial climate change. Cumulative carbon dioxide emissions are the basic determinant of the ultimate amount of anthropogenic climate change. Climate system properties, such as climate sensitivity and the carbon cycle, and also possible initiation of non-linear changes, further shape the amount and nature of the long-term change for any set amount of greenhouse gas emissions. While a changed climate is, in practice, now unavoidable, our commitment to continued climate change can be constrained by reductions of global carbon dioxide emissions, their cessation and/or negative emissions. These alternatives have different implications for the long-term unfolding of these changes, but can all considerably reduce the possibility of very large amounts of change, the need for adaptation and responses to negative impacts.",10.3354/cr01279,Climate Research,2019-06-05 12:17:51+00:00,
101,Evaluating Effective Public Participation in Disaster Management and Climate Change Adaptation: Insights From Northern Ghana Through a User-Based Approach,Samaddar et al.,2015-01-01,"Public participation in disaster risk management and climate change adaptation program is acknowledged by researchers and practitioners, yet its actualization largely remains a dream. In principle, there have been several claims in favor of adopting community participation, albeit these remain anecdotal without empirical substance. The few apparent success stories are seldom scaled up or replicated, compelling most enthusiastic practitioners and planners become skeptical about the use of public participation concept in disaster management strategies. This calls for a comprehensive and systematic evaluation of participatory approaches to guide practitioners in their quest for meaningful local community participation in disaster risk management. Based on our case study in disaster prone villages in Northern Ghana, our research contributes to these emerging literature on risks by examining the process and outcome-based factors that ensure effective public participation. The inimitability of our study does not only lie in its pioneering attempt to systematically identify effective public participation factors for climate change, but unlike other participatory approaches where success is defined by the researchers and policy makers, ours relies on local community themselves to define the desired processes for and outcomes of effective public participation.",10.1002/rhc3.12075,Risk Hazards & Crisis in Public Policy,2019-06-05 12:17:51+00:00,
102,"Preventive resettlement in anticipation of sea level rise: a choice experiment from Alexandria, Egypt",Kloos and Baumert,2015-01-01,"The city of Alexandria, Egypt, is highly exposed to sea level rise putting communities at risk to related coastal hazards such as storm surges and inundation. In the future, preventive resettlement may become a realistic and, under some conditions, unavoidable adaptation policy to sea level rise. Many examples of failed resettlement projects exist worldwide, wherein the resettled populations faced increased social and economic risks. This paper investigates the preferences of vulnerable people in Alexandria for preventive resettlement programs in response to sea level rise. A choice experiment was conducted to assess the willingness to participate in voluntary resettlement programs and to identify important factors that influence the decision to participate. This can help policy makers to design people-centered resettlement programs that provide the right incentives to increase voluntary participation. Results show that for those who are, in principle, willing to resettle, factors such as transparency of the relocation process, public/social infrastructure, financial compensation, housing and income/job security can significantly influence their choices. However, a large share of the population is not willing to resettle given the proposed alternative resettlement programs included in the choice experiment. Urban households are more likely to be unwilling to resettle, while factors such as income insecurity and fewer social relationships decrease the probability of choosing not to resettle ceteris paribus.",10.1007/s11069-014-1475-y,Natural Hazards,2019-06-05 12:17:51+00:00,
103,"Policy design, spatial planning and climate change adaptation: a case study from Australia",Macintosh et al.,2015-01-01,"There are gaps in the existing climate change adaptation literature concerning the design of spatial planning instruments and the relationship between policy instruments and the sociopolitical barriers to adaptation reform. To help address this gap, this article presents a typology of spatial planning instruments for adaptation and analyses the pattern of instrument choice in Australian planning processes in order to shed light on contextual factors that can impede adaptation. The analysis highlights how policy design can amplify the barriers to adaptation by arranging policy actors in ways inimical to reform and stripping decision makers of the instruments necessary to make and sustain desired policy changes.",10.1080/09640568.2014.930706,Journal of Environmental Planning and Management,2019-06-05 12:17:51+00:00,
104,Resource efficiency and the imagined public: Insights from cultural theory,Sharp et al.,2015-01-01,"Resource efficiency initiatives seek to moderate how water and energy are used at a domestic level. They can address local and regional issues of resource supply while simultaneously reducing carbon emissions and water in-security, hence enabling both mitigation of and adaptation to climate change. Although they form an increasingly important part of our resource governance landscape, these interventions have received relatively little academic scrutiny to date. Utilising the concept of the 'imagined public' as a lens through which to apply an interpretive version of Douglas' cultural theory, this paper presents a novel conceptual framework to analyse the governance of such initiatives. The framework distinguishes between interventions based on assumptions about potential householder participants, 'the imagined public', which are reflected in the initiatives' design and implementation. The framework is applied to compare three initiatives located in the increasingly populous, but water-scarce, county of Kent (southeast England). The analysis reveals whether and how institutional objectives are met; it also describes the interventions' environmental and socio-political contributions, and uncovers how learning occurs between initiatives. This research suggests that whilst the target interventions differed in their assumptions, design and implementation, they all made a small contribution to more sustainable resource governance. Fundamentally, the initiatives' impact on resource consumption was limited due to a shared technorational approach and a narrow framing of their household participants. Moreover, while all three initiatives demonstrated aspects of cumulative institutional learning, the closer involvement of resource providers and a modified funding framework are suggested as a means to engender the transformative change required for achieving greater resource efficiency. The paper concludes that the proposed conceptual framework provides a useful means to analyse, map, and enhance resource efficiency initiatives. Further, it is argued that the framework also has wider application in addressing broader environmental and social governance challenges. (C) 2015 The Authors. Published by Elsevier Ltd.",10.1016/j.gloenvcha.2015.07.001,Global Environmental Change-Human and Policy Dimensions,2019-06-05 12:17:51+00:00,
105,"Adaptive governance to typhoon disasters for coastal sustainability: A case study in Guangdong, China",Lei et al.,2015-01-01,"Globally, more people and assets are concentrated on the limited coastal plains where they are exposed to frequent disasters, such as typhoons, rainstorms and floods that often result in tremendous casualties and economic losses. Based on the causal analysis of the historical typhoon cases in the Guangdong Province of China, this study indicates that structural measures alone are not sufficient to resist and offset the impacts caused by typhoon disasters. Additionally, structural measures are unsustainable due to their high investment and low security. Adaptive governance, which uses non-structural measures and resilience building, is a feasible and cost-effective strategy for responding to the cascading effects of typhoon disasters. Multi-stakeholder participation and vertical-horizontal coordination are essential for providing adaptive governance to typhoon disasters. A risk-sharing model was put forward by bringing together the government, insurance companies and victims. Furthermore, a favorable atmosphere for public participation in disaster risk reduction can be fostered and should be a long-term adaptation strategy. The views and frameworks of adaptive governance provide policy makers with insights on coastal disaster risk management within the broader context of climate change. (C) 2015 Elsevier Ltd. All rights reserved.",10.1016/j.envsci.2015.07.016,Environmental Science & Policy,2019-06-05 12:17:51+00:00,
106,Adopting public values and climate change adaptation strategies in urban forest management: A review and analysis of the relevant literature,Barona,2015-01-01,"Urban trees are a dominant natural element in cities; they provide important ecosystem services to urban citizens and help urban areas adapt to climate change. Many rationales have been proposed to provide a purpose for urban forest management, some of which have been ineffective in addressing important ecological and social management themes. Among these rationales we find a values-based perspective, which sees management as a process where the desires of urban dwellers are met. Another perspective is climate change adaptation, which sees management as a process where urban forest vulnerability to climate change is reduced and resilience enhanced. Both these rationales have the advantage of complementing, enhancing, and broadening urban forest management objectives. A critical analysis of the literature on public values related to urban forests and climate change adaptation in the context of urban forests is undertaken to discuss what it means to adopt these two issues in urban forest management. The analysis suggests that by seeing urban forest management as a process by which public values are satisfied and urban-forest vulnerabilities to climate change are reduced, we can place issues such as naturalization, adaptive management, and engaging people in management at the centre of urban forest management. Focusing urban forest management on these issues may help ensure the success of programs focused on planting more trees and increasing citizen participation in urban forest management. (C) 2015 Elsevier Ltd. All rights reserved.",10.1016/j.jenvman.2015.09.004,Journal of Environmental Management,2019-06-05 12:17:51+00:00,
107,Vulnerability assessment for loss of access to drinking water due to extreme weather events,Luh et al.,2015-01-01,"Climate-related extreme weather events can result in the loss of drinking water access. We assessed the relative vulnerability of 3143 United States (U.S.) counties to loss of drinking water access due to droughts, floods, and cyclones. Five vulnerability assessment models from the literature were compared, each differing in the aggregation method used to combine the three determinants of vulnerability (V) - exposure (E), sensitivity (S), and adaptive capacity (AC). Exposure scores were calculated using historical occurrence data, sensitivity scores were determined from the intrinsic resilience of the drinking water technologies, and adaptive capacity scores were calculated from nine socioeconomic indicators. Our results showed that models V = E + S + AC and V = E + S-AC were the same, as were models V = E x S x AC and V = E x S A center dot AC. Between these two model forms (form 1: V = E + S + AC and V = E + S-AC; form 2: V = E Au S Au AC and V = E Au S A center dot AC), scores from one model form could be used to predict scores from the second model form, with R-squared values ranging from 0.61 to 0.82 depending on the extreme weather event type. A fifth model, V = (E-AC) Au S was not found to correlate with any of the other four models. We used V = E + S + AC as our reference model as this resulted in a more uniform distribution of counties in each of the five intervals of vulnerability. Comparing the vulnerability scores identified the counties with greatest vulnerability to losing access to drinking water due to floods, droughts, and cyclones. Our results can be used to inform evidence-based decisions such as allocation of resources and implementation of adaptation strategies.",10.1007/s10584-015-1493-0,Climatic Change,2019-06-05 12:17:51+00:00,
108,Comprehensive local climate policy: The role of urban governance,Lee and Painter,2015-01-01,"Given that climate change is a complicated collective action problem, local governments need a comprehensive approach to tackle climate change issues. Comprehensive climate policies concern an integrated approach in planning and implementing of climate change mitigation and adaptation policies. Yet, not all local governments are actively engaged in global climate issues in a comprehensive manner. Why does local government's commitment on comprehensive climate change policy vary? This study analyzes the influences of urban climate change governance arrangements on the level of comprehensiveness in city-level climate change policies, using case studies of four cities. Urban climate change governance arrangement that includes researchers, NGO (Nongovernmental Organization) s along with public officials is a necessary factor for a city government to develop comprehensive climate policy. The case studies illustrate that cities with well-developed climate change governing organizations (Seattle and Seoul) present comprehensive climate change policy. Urban climate governance arrangements set the climate action agenda and promote implementation schemes. However, Anaheim and Busan have neither well developed urban governance arrangements nor comprehensive climate policies. (C) 2015 Elsevier B.V. All rights reserved.",10.1016/j.uclim.2015.09.003,Urban Climate,2019-06-05 12:17:51+00:00,
